Luciana,"Light",f
Luciano,"Light",m
Lucio,"Light",m
Lucrezia,"Wealthy, rich",f
Ludovica,"Feminine form of Ludovico",f
Ludovico,"Renowned fighter",m
Luigi,"Renowned fighter",m
Luigia,"Famous warrior",f
Luigino,"Renowned fighter",m
Luisa,"Famous warrior",f
Luisella,"Famous warrior",f
Macario,"Blessed",m
Maddalena,"Of Magdala",f
Manfredo,"Strong peace",m
Marcella,"Defense",f
Marcellino,"A variant of Marcello",m
Marcello,"Defense",m
Marco,"Defense",m
Mariella,"Stubborn, obstinate",f
Marietta,"Little rebel",f
Marino,"Of the sea",m
Mario,"Male, virile",m
Marzio,"Defense",m
María,"Stubborn, obstinate",f
Maso,"Twin",m
Massimo,"The greatest",m
Matteo,"Gift of god",m
Mattia,"Gift of god",m
Maura,"Dark-skinned",f
Maurizio,"Dark-skinned; a Moor",m
Melania,"Dark",f
Melchiorre,"King of light",m
Meo,"Son of Talmai",m
Michela,"Who is like God",f
Michelangela,"Who is like God",f
Michele,"Who is like God",m
Michelina,"Who is like God",f
Milana,"Favor, grace",f
Mirella,"To admire",f
Mona,"Hearkening",f
Mosè,"Drawn out",m
Napoleone,"Lion of Naples",m
Narciso,"Numbness, sleep",m
Natale,"Birthday",f
Natanaele,"Given of God",m
Nazario,"Of Nazareth",m
Nereza,"Darkness",f
Nerina,"Water",f
Nerio,"Wet one",m
Nestore,"Homecoming",m
Niccolò,"Victor of the people",m
Nico,"Victor of the people",m
Nicola,"Victor of the people",f
Nicolina,"A variant of Nicola",f
Nicolò,"Victor of the people",m
Nilda,"Armored warrior woman",f
Nino,"God is gracious",m
Noelia,"Day of birth",f
Norma,"Standard rule",f
Orazio,"Keen eyes",m
Orfeo,"Deprived",m
Orlanda,"Famous land",f
Orlando,"Famous land",m
Ornella,"Flowering ash tree",f
Orsino,"Bear-like",m
Orso,"Bear",m
Orsola,"Little she-bear",f
Osvaldo,"Divine power",m
Ottavia,"Eighth",f
Ottaviano,"Eighth",m
Ottavio,"Eighth",m
Paolo,"Small",m
Paride,"Wager",m
Pasquale,"Passover",m
Patrizia,"Patrician; of noble birth",f
Patrizio,"Patrician; of noble descent",m
Pellegrino,"Wanderer",m
Pepe,"God shall add another son",m
Perla,"Pearl",f
Petronel,"Little rock",f
Piera,"Rock, stone",f
Piero,"Rock, stone",m
Pietrina,"Rock, stone",f
Pietronella,"Little rock",f
Pio,"Pious",m
Poldi,"People-bold",m
Prospero,"Fortunate, successful",m
Quirino,"Men together",m
Raffaela,"Healed of god",f
Raffaella,"Healed of god",f
Raffaello,"Healed of god",m
Raimonda,"Wise protector",f
Raimondo,"Wise protector",m
Raul,"Wise wolf",m
Remo,"Oar",m
Renata,"Reborn",f
Renato,"Reborn",m
Riccarda,"Powerful ruler",f
Riccardo,"Powerful ruler",m
Rico,"Home-ruler",m
Rinaldo,"Wise ruler",m
Roberto,"Bright fame",m
Rocco,"Rest",m
Rodolfo,"Famous wolf",m
Romana,"Roman",f
Romano,"Roman",m
Romilda,"Famous battle",f
Romola,"From Rome",f
Romolo,"One from Rome",m
Rosabella,"Beautiful rose",f
Rosalva,"Rose of dawn",f
Rosangela,"Rose-angel",f
Rosanna,"Rose of grace",f
Rosaria,"Rosary",f
Rosetta,"Little rose",f
Rossella,"Rose",f
Rufino,"Red-haired",m
Salvatore,"Savior",m
Salvatrice,"Savior",f
Samanta,"Name of God",f
Samuela,"Heard of god",f
Samuele,"Heard of God",m
Sandra,"Defender of mankind",f
Sansone,"Like the sun",m
Santino,"Little saint",m
Santo,"Holy",m
Santuzza,"Holy",f
Saturnino,"To sow",m
Saveria,"A new home",f
Savio,"Clever",m
Scevola,"Left-handed",m
Sebastiana,"From Sebaste",f
Sebastiano,"From Sebaste",m
Serafina,"Burning one",f
Sergio,"Sergeant",m
Settimio,"Seventh",m
Severiano,"Stern",m
Severino,"Stern",m
Severo,"Stern",m
Silvana,"From the forest",f
Silvano,"From the forest",m
Silvestro,"From the forest",m
Silvia,"From the forest",f
Silvio,"From the forest",m
Simona,"Hearkening",f
Sofia,"Wisdom",f
Stefania,"Crown",f
Stefano,"Crown",m
Susana,"Lily",f
Tacito,"Mute, silent",m
Tancredo,"Thought-counsel",m
Tecla,"Glory of god",f
Teobaldo,"People-bold",m
Teodosio,"God-giving",m
Teofila,"God's friend",f
