Gentius,"Gentian flower",m
Georgius,"Earth-worker farmer",m
Gieronymus,"Holy name",m
Gina,"Maiden virgin",f
Glaucia,"Bluish-gray",m
Gloria,"Glory",f
Gordiana,"From gordium",f
Gracilia,"Slender",f
Gracilis,"Slender",m
Grania,"Grain",f
Gregorius,"Watchful, vigilant",m
Gundisalvus,"Battle genius; war elf",m
Gæa,"Earth",f
Halcyone,"Kingfisher",f
Hampus,"Bright home",m
Hanna,"God is gracious",f
Hasdrubal,"Help of Ba'al",m
Hecate,"Worker from far off",f
Hector,"Defend; to hold fast",m
Hecuba,"Worker from far off",f
Helena,"Torch",f
Hemigidius,"Half-god; demi-god",m
Henricus,"Home-ruler",m
Henrietta,"Little home-ruler",f
Hephaestus,"Seven",m
Hera,"Vital force",f
Herbertus,"Bright army",m
Hermes,"Of the earth",m
Hermia,"Of the earth",f
Herminius,"Of the earth",m
Herod,"Sprung from a hero",m
Herodotus,"Hero-given",m
Hersilia,"Delicate, tender",f
Herta,"Strong, vigorous",f
Hester,"Star",f
Heva,"Life",f
Hippocrates,"Horse power",m
Hippolyta,"Horse-freer",f
Hippolytus,"Horse-freer",m
Homerus,"Hostage",m
Horatia,"Has good eyesight",f
Horatius,"Has good eyesight",m
Hortensia,"Garden",f
Horus,"The distant one",m
Hubertus,"Bright spirit",m
Hugo,"Heart",m
Humbertus,"Bright support",m
Hyacintha,"Hyacinth flower",f
Hyacinthus,"Hyacinth flower",m
Hyginus,"Healthy",m
Hyman,"Bridal song",m
Hypatius,"Supreme, most high",m
Iacchus,"To shout",m
Ianthina,"Violet flower",f
Ianuarius,"January",m
Idesta,"Industrious",f
Idetta,"Work",f
Idothea,"Knowing goddess",f
Iduma,"Red",m
Igerna,"Maiden virgin",f
Ignatius,"Unknowing",m
Io,"The moon",f
Iola,"Violet",f
Iovis,"God",m
Iphigenia,"Strong-born",f
Irene,"Peace",f
Isaura,"From Isauria",f
Ismene,"Knowledge",f
Isocrates,"Equal power",m
Iulia,"Descended from Jupiter",f
Jacintha,"Hyacinth flower",f
Jacinthus,"Hyacinth flower",m
Janae,"God is gracious",f
Januarius,"January",m
Jason,"To heal",m
Jeremias,"Jehovah casts forth",m
Jessamine,"Jasmine flower",f
Joanna,"God is gracious",f
Joannes,"God is gracious",m
Jodocus,"Lord",m
